"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.891666769E0,2.299278975E-3,1.188153028E-2,1.539821625E-1,1.544569966E-1
2.900246231E0,3.163695335E-3,1.082527637E-2,1.419792175E-1,1.424264504E-1
2.911086154E0,-3.863543272E-3,1.075839996E-2,1.269798279E-1,1.274933207E-1
2.920061539E0,-9.806513786E-3,1.463988423E-2,1.349878311E-1,1.361330543E-1
2.930559462E0,-2.061659098E-2,1.454401016E-2,1.560001373E-1,1.580272600E-1
2.939990462E0,-2.635353804E-2,1.050782204E-2,1.610136032E-1,1.634940479E-1
2.949994692E0,-2.115982771E-2,1.047080755E-2,1.600227356E-1,1.617549135E-1
2.963510846E0,-5.186378956E-3,1.043447852E-2,1.570234299E-1,1.574551822E-1
2.969994539E0,-5.207270384E-3,1.039338112E-2,1.570234299E-1,1.574531536E-1
2.982269846E0,-7.198899984E-3,1.725283265E-2,1.490306854E-1,1.501986338E-1
2.990457385E0,-9.159564972E-3,1.316589117E-2,1.450366974E-1,1.459208070E-1
